Title,Image URL,URL,Label,Description
"Asuransi Kesehatan, Pertimbangkan Hal Ini sebelum Memilih","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1675921433/attached_image/pertimbangkan-hal-ini-sebelum-memilih-asuransi-kesehatan.jpg",https://www.alodokter.com/pertimbangkan-hal-ini-sebelum-memilih-asuransi-kesehatan,hidup-sehat,Asuransi kesehatan perlu untuk dimiliki agar kamu tidak perlu mengeluarkan biaya yang besar ketika sakit...
10 Manfaat Pilates untuk Wanita yang Jarang Diketahui,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1740382191/attached_image/10-manfaat-pilates-untuk-wanita-yang-jarang-diketahui.jpg",https://www.alodokter.com/10-manfaat-pilates-untuk-wanita-yang-jarang-diketahui,hidup-sehat,"Ada banyak manfaat Pilates untuk wanita, mulai dari memperkuat dan memperindah tubuh, hingga mengurangi nyeri..."
Cadillac Pilates dan Manfaatnya untuk Kesehatan Tubuh,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753321770/attached_image/cadillac-pilates-dan-manfaatnya-untuk-kesehatan-tubuh.jpg",https://www.alodokter.com/cadillac-pilates-dan-manfaatnya-untuk-kesehatan-tubuh,hidup-sehat,Cadillac Pilates merupakan salah satu peralatan yang bisa digunakan untuk beragam gerakan pilates secara aman...
"Daun Senna, Inilah Manfaatnya untuk Kesehatan yang Jarang Diketahui","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1689338754/attached_image/daun-senna-inilah-8-manfaatnya-untuk-kesehatan-yang-jarang-diketahui.jpg",https://www.alodokter.com/daun-senna-inilah-8-manfaatnya-untuk-kesehatan-yang-jarang-diketahui,hidup-sehat,"Daun senna mungkin lebih dikenal sebagai obat pencahar untuk mengatasi sembelit. Padahal, tanaman herbal yang..."
Jangan Sia-Siakan 7 Manfaat Daun Pandan bagi Kesehatan Berikut Ini,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1604266347/attached_image/jangan-sia-siakan-7-manfaat-daun-pandan-bagi-kesehatan-ini.jpg",https://www.alodokter.com/jangan-sia-siakan-7-manfaat-daun-pandan-bagi-kesehatan-ini,hidup-sehat,"Daun pandan dikenal dengan aromanya yang khas dan kerap digunakan sebagai pewarna alami. Selain itu,..."
7 Khasiat Daun Pandan untuk Pria yang Jarang Diketahui,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753318403/attached_image/7-khasiat-daun-pandan-untuk-pria-yang-jarang-diketahui.jpg",https://www.alodokter.com/7-khasiat-daun-pandan-untuk-pria-yang-jarang-diketahui,hidup-sehat,"Khasiat daun pandan untuk pria kini semakin menarik perhatian. Selain sebagai penyedap makanan, daun pandan..."
Menu Diet Defisit Kalori yang Sehat dan Tetap Enak,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753258145/attached_image/menu-diet-defisit-kalori-yang-sehat-dan-tetap-enak.jpg",https://www.alodokter.com/menu-diet-defisit-kalori-yang-sehat-dan-tetap-enak,hidup-sehat,Menerapkan menu diet defisit kalori tidak berarti Anda harus kelaparan atauÂ  kehilangan variasi makanan lezat....
Pentingnya Asuransi Kesehatan untuk Orang Tua,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1547548293/attached_image/tetap-sejahtera-saat-sakit-di-usia-senja.jpg",https://www.alodokter.com/tetap-sejahtera-saat-sakit-di-usia-senja,hidup-sehat,"Asuransi kesehatan untuk orang tua dapat memberikan perlindungan serta pelayanan kesehatan, baik sebagai langkah pencegahan..."
5 Posisi Tidur untuk Meredakan Nyeri Haid,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1688978387/attached_image/5-posisi-tidur-untuk-meredakan-nyeri-haid.jpg",https://www.alodokter.com/5-posisi-tidur-untuk-meredakan-nyeri-haid,hidup-sehat,Posisi tidur untuk meredakan nyeri haid bisa kamu coba untuk mengurangi tekanan pada otot perut....
8 Manfaat Air Kelapa untuk Kesehatan Tubuh,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1617612014/attached_image/manfaat-air-kelapa-untuk-kesehatan.jpg",https://www.alodokter.com/manfaat-air-kelapa-untuk-kesehatan,hidup-sehat,"Manfaat air kelapa tidak hanya sekadar untuk menghilangkan rasa haus, tetapi juga baik untuk kesehatan..."
7 Manfaat Minum Madu Setiap Hari yang Jarang Diketahui,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1701304376/attached_image/6-manfaat-minum-madu-setiap-hari-yang-jarang-diketahui.jpg",https://www.alodokter.com/6-manfaat-minum-madu-setiap-hari-yang-jarang-diketahui,hidup-sehat,Manfaat minum madu setiap hari tidak hanya sebagai pemanis alami. Madu mengandung zat yang bersifat...
6 Pengganti Gula yang Alami dan Sehat,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1694999674/attached_image/6-pengganti-gula-yang-alami-dan-sehat.jpg",https://www.alodokter.com/6-pengganti-gula-yang-alami-dan-sehat,hidup-sehat,"Produk pengganti gula sering kali diklaim lebih sehat dibandingkan gula pasir. Namun, tahukah kamu bahwa..."
